date,trade_date,strategy,model_name,horizon,strategy_role,is_benchmark_clone,benchmark_return,strategy_return,active_return,fwd_ret_1d,final_position,position_gap,position_gap_return,turnover,turnover_cost,benchmark_turnover,benchmark_turnover_cost,incremental_turnover_cost,equity,benchmark_equity,drawdown,benchmark_drawdown,cumulative_active_return
2026-03-17,2026-03-18,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.016829372247366692,0.016829372247366692,0.0,0.016829372247366692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206358.223776453,207617.50305739816,-0.026595910035283388,-0.0265959100352835,-0.007562997771720601
2026-03-18,2026-03-19,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.029632616237060927,-0.029632616237060927,0.0,-0.029632616237060927,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,200243.28972392384,201465.25326520146,-0.05544041987679327,-0.05544041987679338,-0.007562997771720601
2026-03-19,2026-03-20,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.036757748541620394,-0.036757748541620394,0.0,-0.036757748541620394,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,192882.797233105,194059.8441458053,-0.09016030340554071,-0.09016030340554082,-0.007562997771720601
2026-03-20,2026-03-23,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.06398796177264898,-0.06398796177264898,0.0,-0.06398796177264898,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,180540.62017715146,181642.3502569973,-0.14837909113046555,-0.14837909113046566,-0.007562997771720601
2026-03-23,2026-03-24,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.05613993995272892,0.05613993995272892,0.0,0.05613993995272892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190676.1597529252,191839.74089329768,-0.10056914444404141,-0.10056914444404152,-0.007562997771720601
2026-03-24,2026-03-25,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.024393967105083014,0.024393967105083014,0.0,0.024393967105083014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195327.5077216616,196519.47322209642,-0.0786284577403128,-0.07862845774031291,-0.007562997771720601
2026-03-25,2026-03-26,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.015770413815208606,-0.015770413815208606,0.0,-0.015770413815208606,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,192247.11209539764,193420.27980663715,-0.09315886823930497,-0.09315886823930519,-0.007562997771720601
2026-03-26,2026-03-27,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.02053237044252798,0.02053237044252798,0.0,0.02053237044252798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196194.40101744654,197391.65664272444,-0.07453927018947315,-0.07453927018947326,-0.007562997771720601
2026-03-27,2026-03-30,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.01205336961100878,0.01205336961100878,0.0,0.01205336961100878,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198559.2046485203,199770.89123836852,-0.0633843499525929,-0.06338434995259301,-0.007562997771720601
2026-03-30,2026-03-31,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.014497283228760538,-0.014497283228760538,0.0,-0.014497283228760538,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,195680.63562105328,196874.756047224,-0.0769627323078198,-0.07696273230781991,-0.007562997771720601
2026-03-31,2026-04-01,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.01089644101047127,0.01089644101047127,0.0,0.01089644101047127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197812.8581239896,199019.9902129435,-0.06690491116994546,-0.06690491116994546,-0.007562997771720601
2026-04-01,2026-04-02,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.020915263130862338,-0.020915263130862338,0.0,-0.020915263130862338,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,193675.55014565843,194857.43474933814,-0.08642084047894127,-0.08642084047894139,-0.007562997771720601
2026-04-02,2026-04-03,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.03681328652688998,-0.03681328652688998,0.0,-0.03681328652688998,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,186545.71662489325,187684.09217201598,-0.1200526918433854,-0.12005269184338552,-0.007562997771720601
2026-04-03,2026-04-07,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.033180196982119714,0.033180196982119714,0.0,0.033180196982119714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192735.34024867788,193911.4873206938,-0.09085586682486302,-0.09085586682486302,-0.007562997771720601
2026-04-07,2026-04-08,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.03641728357069174,0.03641728357069174,0.0,0.03641728357069174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199754.23778860774,200973.2169420661,-0.05774730712039322,-0.05774730712039333,-0.007562997771720601
2026-04-08,2026-04-09,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.02095118172582966,-0.02095118172582966,0.0,-0.02095118172582966,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,195569.15045219404,196762.59055188828,-0.07748861452056621,-0.07748861452056632,-0.007562997771720601
2026-04-09,2026-04-10,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.009914182855666587,0.009914182855666587,0.0,0.009914182855666587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197508.05877070446,198713.33085377436,-0.06834266795848887,-0.06834266795848887,-0.007562997771720601
2026-04-10,2026-04-13,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.0015946657249750196,-0.0015946657249750196,0.0,-0.0015946657249750196,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,197193.09943897647,198396.44951596623,-0.0698283499733171,-0.0698283499733171,-0.007562997771720601
2026-04-13,2026-04-14,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.00030078287097246026,-0.00030078287097246026,0.0,-0.00030078287097246026,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,197133.78713239124,198336.7752622901,-0.07010812967270941,-0.07010812967270919,-0.007562997771720601
2026-04-14,2026-04-15,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.008466242286637726,-0.008466242286637726,0.0,-0.008466242286637726,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,195464.80472764594,196657.60806856913,-0.07798081954727498,-0.07798081954727476,-0.007562997771720601
2026-04-15,2026-04-16,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.023154339788040046,0.023154339788040046,0.0,0.023154339788040046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199990.66323291275,201211.08514769198,-0.05663207415198235,-0.056632074151982126,-0.007562997771720601
2026-04-16,2026-04-17,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.00829038024807982,-0.00829038024807982,0.0,-0.00829038024807982,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,198332.66458864624,199542.96874168885,-0.06445295297110476,-0.06445295297110465,-0.007562997771720601
2026-04-17,2026-04-20,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.009994794233783244,0.009994794233783244,0.0,0.009994794233783244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200314.95876104772,201537.35965506028,-0.055102352740027394,-0.05510235274002717,-0.007562997771720601
2026-04-20,2026-04-21,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.0022632094805310476,-0.0022632094805310476,0.0,-0.0022632094805310476,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,199861.60404728752,201081.23839200774,-0.057240854053437595,-0.057240854053437484,-0.007562997771720601
2026-04-21,2026-04-22,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.002826155055204116,-0.002826155055204116,0.0,-0.002826155055204116,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,199296.76416466807,200512.95163361946,-0.05990523757959443,-0.05990523757959432,-0.007562997771720601
2026-04-22,2026-04-23,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.010188939730251367,-0.010188939730251367,0.0,-0.010188939730251367,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,197266.14144616015,198469.93725428972,-0.06948380645462093,-0.06948380645462071,-0.007562997771720601
2026-04-23,2026-04-24,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.010978685731466875,0.010978685731466875,0.0,0.010978685731466875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199431.86441855665,200648.87632254852,-0.05926796159764536,-0.05926796159764525,-0.007562997771720601
2026-04-24,2026-04-27,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.02004326161158443,0.02004326161158443,0.0,0.02004326161158443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203429.12945078383,204670.5342427518,-0.04041262324554773,-0.04041262324554773,-0.007562997771720601
2026-04-27,2026-04-28,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,-0.0008787369944224244,-0.0008787369944224244,0.0,-0.0008787369944224244,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,203250.36874899227,204490.6826726445,-0.04125584817288275,-0.041255848172882637,-0.007562997771720601
2026-04-28,2026-04-29,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.016429676364692503,0.016429676364692503,0.0,0.016429676364692503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206589.70652854262,207850.3984085511,-0.025503992041821633,-0.02550399204182141,-0.007562997771720601
2026-04-29,2026-04-30,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.011550536588218696,0.011550536588218696,0.0,0.011550536588218696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208975.92849254992,210251.1820402449,-0.014248040246827576,-0.014248040246827465,-0.007562997771720601
2026-04-30,2026-05-06,ml_directional_alpha_extratrees_10d,ExtraTrees,10,real ML timing strategy,False,0.0019092395103517124,0.0019092395103517124,0.0,0.0019092395103517124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209374.91359194033,210652.60190409428,-0.012366003657860114,-0.012366003657860003,-0.007562997771720601
2025-01-02,2025-01-03,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.048828311462035257,-0.048828311462035257,0.0,-0.047828311462035256,1.0,0.0,-0.0,1.0,0.001,1.0,0.001,0.0,95117.16885379648,95117.16885379648,-0.048828311462035145,-0.048828311462035145,0.0
2025-01-03,2025-01-06,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.006965038296092518,-0.006965038296092518,0.0,-0.006965038296092518,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,94454.67413011388,94454.67413011388,-0.055453258698861196,-0.055453258698861196,0.0
2025-01-06,2025-01-07,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.03666059264155752,0.03666059264155752,0.0,0.03666059264155752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97917.43846148904,97917.43846148904,-0.02082561538510952,-0.02082561538510952,0.0
2025-01-07,2025-01-08,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.0023530938670022206,-0.0023530938670022206,0.0,-0.0023530938670022206,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,97687.02953757274,97687.02953757274,-0.02312970462427255,-0.02312970462427255,0.0
2025-01-08,2025-01-09,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.005732579547672145,0.005732579547672145,0.0,0.005732579547672145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98247.02820517268,98247.02820517268,-0.017529717948273182,-0.017529717948273182,0.0
2025-01-09,2025-01-10,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.03154771947584489,-0.03154771947584489,0.0,-0.03154771947584489,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,95147.55852002048,95147.55852002048,-0.04852441479979519,-0.04852441479979519,0.0
2025-01-10,2025-01-13,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.009250844219383714,0.009250844219383714,0.0,0.009250844219383714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96027.75376174388,96027.75376174388,-0.03972246238256116,-0.03972246238256116,0.0
2025-01-13,2025-01-14,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.05471148230514955,0.05471148230514955,0.0,0.05471148230514955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101281.57451248278,101281.57451248278,0.0,0.0,0.0
2025-01-14,2025-01-15,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.0002536797198067209,0.0002536797198067209,0.0,0.0002536797198067209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101307.26759392669,101307.26759392669,0.0,0.0,0.0
2025-01-15,2025-01-16,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.009460126480445696,0.009460126480445696,0.0,0.009460126480445696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102265.64715875359,102265.64715875359,0.0,0.0,0.0
2025-01-16,2025-01-17,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.005173354657099671,-0.005173354657099671,0.0,-0.005173354657099671,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,101736.59069676354,101736.59069676354,-0.005173354657099671,-0.005173354657099671,0.0
2025-01-17,2025-01-20,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.017091603281457424,0.017091603281457424,0.0,0.017091603281457424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103475.43214416063,103475.43214416063,0.0,0.0,0.0
2025-01-20,2025-01-21,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.011275013683268997,-0.011275013683268997,0.0,-0.011275013683268997,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,102308.74523085305,102308.74523085305,-0.011275013683268997,-0.011275013683268997,0.0
2025-01-21,2025-01-22,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.010860818422885998,-0.010860818422885998,0.0,-0.010860818422885998,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,101197.58852582745,101197.58852582745,-0.022013376229825465,-0.022013376229825465,0.0
2025-01-22,2025-01-23,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.002743652743652847,0.002743652743652847,0.0,0.002743652743652847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101475.23956723738,101475.23956723738,-0.019330120546262708,-0.019330120546262708,0.0
2025-01-23,2025-01-24,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.009125930765984558,0.009125930765984558,0.0,0.009125930765984558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102401.29557798969,102401.29557798969,-0.010380595122081449,-0.010380595122081449,0.0
2025-01-24,2025-01-27,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,-0.0007581132961200776,-0.0007581132961200776,0.0,-0.0007581132961200776,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,102323.66379427208,102323.66379427208,-0.011130838751017835,-0.011130838751017835,0.0
2025-01-27,2025-02-05,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.022339460440201186,0.022339460440201186,0.0,0.022339460440201186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104609.51923370067,104609.51923370067,0.0,0.0,0.0
2025-02-05,2025-02-06,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.014908226594480434,0.014908226594480434,0.0,0.014908226594480434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106169.06165037634,106169.06165037634,0.0,0.0,0.0
2025-02-06,2025-02-07,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.010726134870347126,0.010726134870347126,0.0,0.010726134870347126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107307.84532469648,107307.84532469648,0.0,0.0,0.0
2025-02-07,2025-02-10,ml_cost_aware_overlay_conservative,ExtraTrees,10,benchmark-clone strategy,True,0.025838209965063363,0.025838209965063363,0.0,0.025838209965063363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110080.48796309452,110080.48796309452,0.0,0.0,0.0
