date,trade_date,strategy,model_name,horizon,pred_ret,pred_up_prob,pred_trade_prob,fwd_ret_1d,benchmark_return,strategy_return,final_position,turnover,turnover_cost,position_gap,position_gap_return,cumulative_position_timing_contribution,equity,drawdown,benchmark_equity,benchmark_drawdown
2025-05-16,2025-05-19,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.46762108354666043,0.5080320623934904,0.01628363400594046,0.01628363400594046,0.015795124985762247,0.97,0.0,0.0,-0.030000000000000027,-0.0004885090201782143,-0.0006731081298004666,128090.80479783309,0.0,128179.74435701361,0.0
2025-05-19,2025-05-20,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.4682336224341295,0.4774679685310746,0.01733963264549554,0.01733963264549554,0.01681944366613067,0.97,0.0,0.0,-0.030000000000000027,-0.0005201889793648666,-0.0011932971091653333,130245.22087327957,0.0,130402.33403675776,0.0
2025-05-20,2025-05-21,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.48236162266092864,0.5080320623934904,-0.007662957007357862,-0.007662957007357862,-0.007433068297137127,0.97,0.0,0.0,-0.030000000000000027,0.00022988871022073607,-0.0009634083989445972,129277.09925115277,-0.00743306829713708,129403.06655737497,-0.007662957007357862
2025-05-21,2025-05-22,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.45889326737057134,0.4942948860362492,-0.014658599384279047,-0.014658599384279047,-0.014218841402750676,0.97,0.0,0.0,-0.030000000000000027,0.0004397579815283718,-0.0005236504174162254,127438.92867989298,-0.021546220080634892,127506.19884561321,-0.022209228174767115
2025-05-22,2025-05-23,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.44773217892108036,0.4942948860362492,-0.00952704927978354,-0.00952704927978354,-0.009241237801390034,0.97,0.0,0.0,-0.030000000000000027,0.0002858114783935064,-0.00023783893902271894,126261.2352348077,-0.030588344138538837,126291.44100573317,-0.031524689043263665
2025-05-23,2025-05-26,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0027631499410714667,0.44773217892108036,0.4942948860362492,0.012709704657964505,0.012709704657964505,0.012328413518225568,0.97,0.0,0.0,-0.030000000000000027,-0.00038129113973893545,-0.0006191300787616544,127817.83595410436,-0.01863703637569092,127896.56792174479,-0.01921565387247326
2025-05-26,2025-05-27,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0027631499410714667,0.44773217892108036,0.4942948860362492,0.009623256527289792,0.009623256527289792,0.009334558831471098,0.97,0.0,0.0,-0.030000000000000027,-0.00028869769581869404,-0.0009078277745803484,129010.95906352927,-0.00947644605671294,129127.34940381568,-0.009777314511737911
2025-05-27,2025-05-28,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0027631499410714667,0.44773217892108036,0.4942948860362492,-0.004257631644258741,-0.004257631644258741,-0.0041299026949309795,0.97,0.0,0.0,-0.030000000000000027,0.00012772894932776236,-0.000780098825252586,128478.15635601718,-0.013567211951535874,128577.57271485474,-0.013993317952335493
2025-05-28,2025-05-29,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.44773217892108036,0.4942948860362492,0.020066350670167488,0.020066350670167488,0.019464360150062462,0.97,0.0,0.0,-0.030000000000000027,-0.0006019905201050252,-0.0013820893453576112,130978.90146274673,0.0,131157.65537726998,0.0
2025-05-29,2025-05-30,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.4495887320033083,0.4942948860362492,-0.011111228132997697,-0.011111228132997697,-0.010777891289007765,0.97,0.0,0.0,-0.030000000000000027,0.0003333368439899312,-0.00104875250136768,129567.22510162758,-0.010777891289007746,129700.33274698404,-0.011111228132997697
2025-05-30,2025-06-03,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.44773217892108036,0.4799887028405876,0.012399088333652886,0.012399088333652886,0.012027115683643298,0.97,0.0,0.0,-0.030000000000000027,-0.0003719726500095869,-0.001420725151377267,131125.5451067335,0.0,131308.49862961806,0.0
2025-06-03,2025-06-04,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.44773217892108036,0.4840417446548051,0.013050951943125222,0.013050951943125222,0.012659423384831465,0.97,0.0,0.0,-0.030000000000000027,-0.000391528558293757,-0.001812253709671024,132785.51889880645,0.0,133022.19953495712,0.0
2025-06-04,2025-06-05,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.45407962927195283,0.47729339624306377,0.0011422779930798654,0.0011422779930798654,0.0011080096532874693,0.97,0.0,0.0,-0.030000000000000027,-3.4268339792395994e-05,-0.00184652204946342,132932.6465355631,0.0,133174.147866077,0.0
2025-06-05,2025-06-06,ml_selective_defensive_enhancement,GradientBoosting,10,-0.00011709261353350183,0.45407962927195283,0.47072765440706643,0.010194090166043113,0.010194090166043113,0.00988826746106182,0.97,0.0,0.0,-0.030000000000000027,-0.00030582270498129364,-0.0021523447544447138,134247.12009881355,0.0,134531.73713720974,0.0
2025-06-06,2025-06-09,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.568596298831884,0.5876848852125397,0.013945761236081822,0.013945761236081822,0.013915761236081821,1.0,0.030000000000000027,3.0000000000000028e-05,0.0,0.0,-0.0021523447544447138,136115.27096874025,0.0,136407.8846220006,0.0
2025-06-09,2025-06-10,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.6146445853645309,0.5967587524995768,-0.008040522613716683,-0.008040522613716683,-0.008040522613716683,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,135020.8330544439,-0.008040522613716794,135311.09394100815,-0.008040522613716683
2025-06-10,2025-06-11,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.568596298831884,0.5967587524995768,0.007691224001028951,0.007691224001028951,0.007691224001028951,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,136059.30852627117,-0.0004111400731953152,136351.8018743327,-0.00041114007319509316
2025-06-11,2025-06-12,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5598824903376839,0.6019278795678615,0.0029095565560250947,0.0029095565560250947,0.0029095565560250947,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,136455.18077940203,0.0,136748.525153402,0.0
2025-06-12,2025-06-13,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5598824903376839,0.6019278795678615,-0.01653797511828703,-0.01653797511828703,-0.01653797511828703,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,134198.4883949109,-0.01653797511828714,134486.9814469526,-0.01653797511828714
2025-06-13,2025-06-16,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5631409808316495,0.591246431553547,0.01361555970057271,0.01361555970057271,0.01361555970057271,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,136025.67592537843,-0.003147589205264034,136318.0969717934,-0.003147589205263923
2025-06-16,2025-06-17,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5544033357539188,0.5863928993062925,-0.0029143292584066227,-0.0029143292584066227,-0.0029143292584066227,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,135629.25231813456,-0.006052745352356337,135920.82115333818,-0.006052745352356226
2025-06-17,2025-06-18,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5544033357539188,0.5863928993062925,-0.005878216046798057,-0.005878216046798057,-0.005878216046798057,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,134831.99427074287,-0.011895382054297077,135121.84920134066,-0.011895382054296855
2025-06-18,2025-06-19,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0014124530662904028,0.5544033357539188,0.5863928993062925,-0.022695023860443975,-0.022695023860443975,-0.022695023860443975,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,131771.9789436171,-0.03432043993518963,132055.2556096489,-0.03432043993518952
2025-06-19,2025-06-20,ml_selective_defensive_enhancement,GradientBoosting,10,-0.004189898710283252,0.4854037909456668,0.5313901992686806,-0.002700870722226578,-0.002700870722226578,-0.002700870722226578,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,131416.07986367843,-0.03692861558602145,131698.59143605665,-0.03692861558602134
2025-06-20,2025-06-23,ml_selective_defensive_enhancement,GradientBoosting,10,-0.004189898710283252,0.49270772891058734,0.5289528721504364,0.025340725776846318,0.025340725776846318,0.025340725776846318,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,134746.25870617206,-0.012523687730058963,135035.92932683468,-0.012523687730058963
2025-06-23,2025-06-24,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.5340424524901645,0.5443172342686845,0.026553705836741548,0.026553705836741548,0.026553705836741548,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,138324.27122245723,0.0,138621.63367157048,0.0
2025-06-24,2025-06-25,ml_selective_defensive_enhancement,GradientBoosting,10,-0.006101208069248905,0.5359969220425311,0.5472272122230726,0.005749737923557374,0.005749737923557374,0.005749737923557374,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,139119.59953045342,0.0,139418.6717357174,0.0
2025-06-25,2025-06-26,ml_selective_defensive_enhancement,GradientBoosting,10,-0.006101208069248905,0.5428501347002712,0.5318428824943533,0.002054901743198778,0.002054901743198778,0.002054901743198778,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,139405.47663804167,0.0,139705.1634073016,0.0
2025-06-26,2025-06-27,ml_selective_defensive_enhancement,GradientBoosting,10,-0.006101208069248905,0.5428501347002712,0.5419681421289162,0.008525086813108596,0.008525086813108596,0.008525086813108596,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,140593.92042860377,0.0,140896.16205358837,0.0
