strategy,model_name,horizon,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,avg_turnover,total_days,avg_position,min_position,max_position,days_below_full_exposure,pct_days_below_full_exposure,total_turnover,active_return_sum,avg_abs_position_gap,benchmark_total_return,excess_return_vs_buy_hold,annualized_excess_return,tracking_error,information_ratio,is_benchmark_clone,is_real_ml_timing_strategy,strategy_role,strategy_score
ml_vol_target_trend,ExtraTrees,20,0.8396338442042914,0.6161288023646438,0.23345503640388945,2.177122218164312,-0.16500583301622151,3.7339819514384867,0.59375,0.010784301278686629,320,0.9019395732679291,0.6,1.0,115,0.359375,3.4509764091797215,-0.14718139438523253,0.09806042673207085,1.1065260190409427,-0.2668921748366513,-0.18195064463627442,0.0597033226066408,-1.9413550706720377,False,True,real ML timing strategy,1.1368393744449479
ml_enhanced_cppi,RandomForest,5,0.7536231524340866,0.5563232776044593,0.20114712262767265,2.303047096515159,-0.14206118631951492,3.9160821616202237,0.59375,0.05203125000000001,320,0.7996875000000001,0.5,0.9500000000000001,320,1.0,16.650000000000002,-0.20433548956901137,0.20031249999999998,1.1065260190409427,-0.3529028666068561,-0.24175616939645894,0.08901904653309028,-1.8076378517015592,False,True,real ML timing strategy,1.1364985115646977
ml_vol_target_trend,XGBoost,20,0.8390615544380775,0.61573286592074,0.2335651190022846,2.175154901537853,-0.16500583301622174,3.731582421454199,0.59375,0.01109680127868663,320,0.9014020293175843,0.6,1.0,120,0.375,3.5509764091797216,-0.14746054774545445,0.09859797068241564,1.1065260190409427,-0.2674644646028652,-0.18234658108017832,0.05958201204371357,-1.9489973125504345,False,True,real ML timing strategy,1.1351969836939384
ml_vol_target_trend,LightGBM,20,0.8391085018028113,0.6157653472577391,0.23362346170790133,2.174755188321167,-0.16500583301622185,3.7317792710831186,0.59375,0.010581963650235738,320,0.9019287092347683,0.6,1.0,115,0.359375,3.3862283680754364,-0.14741798007978005,0.09807129076523159,1.1065260190409427,-0.26741751723813145,-0.18231409974317914,0.05968465454932291,-1.9450838777476642,False,True,real ML timing strategy,1.1351633870194504
ml_vol_target_trend,RandomForest,20,0.8377429528599463,0.6148204968789868,0.23339650334574255,2.1741338201368103,-0.16500583301622163,3.7260531075804098,0.59375,0.010784301278686629,320,0.9015281124218724,0.6,1.0,120,0.375,3.4509764091797215,-0.1482289058412489,0.09847188757812768,1.1065260190409427,-0.26878306618099645,-0.1832589501219315,0.05970041187198802,-1.9552673036876387,False,True,real ML timing strategy,1.1324661949207369
ml_vol_target_trend,RandomForest,10,0.8356098696359013,0.6133442757021161,0.2325433577651375,2.1773125666712776,-0.16500583301622163,3.7171066288415306,0.59375,0.01195408977340785,320,0.8971813985788881,0.6,1.0,130,0.40625,3.8253087274905115,-0.1496456122129118,0.10281860142111203,1.1065260190409427,-0.2709161494050414,-0.18473517129880213,0.06000185809925515,-1.9640378373404233,False,True,real ML timing strategy,1.1294974399092563
ml_enhanced_cppi,LightGBM,5,0.7500520411002778,0.5538268928000745,0.20365905765062003,2.269252708355675,-0.14039199875558517,3.944860801962489,0.59375,0.05265625,320,0.8082812500000001,0.5,0.9500000000000001,320,1.0,16.85,-0.20572904967720973,0.19171874999999997,1.1065260190409427,-0.35647397794066493,-0.2442525542008438,0.08668831627131286,-1.868898065960199,False,True,real ML timing strategy,1.1293794056334616
ml_enhanced_cppi,HistGradientBoosting,5,0.7474751822388443,0.5520248676647932,0.20233786895468409,2.2769860175695267,-0.14028589230694588,3.9349991548470276,0.59375,0.05390625000000001,320,0.7989062500000002,0.5,0.9500000000000001,320,1.0,17.250000000000004,-0.2075492017028645,0.20109374999999993,1.1065260190409427,-0.35905083680209837,-0.24605457933612507,0.08690980388423238,-1.8806278352522994,False,True,real ML timing strategy,1.1272032633374112
ml_vol_target_trend,HistGradientBoosting,5,0.8352691035176412,0.6131084114059486,0.23337801583707443,2.169733166740218,-0.16500583301622151,3.7156771987913584,0.59375,0.01062805127868663,320,0.9011583232679291,0.6,1.0,115,0.359375,3.4009764091797217,-0.1495840932392538,0.09884167673207085,1.1065260190409427,-0.27125691552330156,-0.18497103559496963,0.05984557718938672,-1.9683572113129042,False,True,real ML timing strategy,1.1265969678016436
ml_signal_benchmark_aware,ExtraTrees,1,0.7295808772955017,0.5394955540543434,0.19755647532800613,2.2857309098004595,-0.13554886290688672,3.9800817394163004,0.59375,0.026240949464696173,320,0.8071341157191693,0.3,1.0,315,0.984375,8.397103828702775,-0.2191803843646745,0.19286588428083065,1.1065260190409427,-0.376945141745441,-0.2585838929465749,0.0868830082567756,-1.9866318645075294,False,True,real ML timing strategy,1.1233174576772325
ml_signal_benchmark_aware,HistGradientBoosting,3,0.7229230741598833,0.5348268435940517,0.20472613604724052,2.1978324892777485,-0.13515490264965024,3.957139793740481,0.59375,0.0312150575247676,320,0.8282018924744845,0.3082833333333333,1.0,259,0.809375,9.988818407925631,-0.22122125913233648,0.17179810752551547,1.1065260190409427,-0.3836029448810594,-0.2632526034068665,0.08427325793028262,-2.0672244771981694,False,True,real ML timing strategy,1.0858987193782552
ml_risk_control,LightGBM,5,0.5959623058512094,0.44504150405024845,0.16195051783350625,2.3563211370543677,-0.10410633265817837,4.274874473885205,0.59375,0.02905715499861076,320,0.6731591795818421,0.17408999999999997,0.9421,320,1.0,9.298289599555442,-0.3080102431081214,0.3268408204181578,1.1065260190409427,-0.5105637131897334,-0.3530379429506698,0.12871448718622386,-1.8844659350327295,False,True,real ML timing strategy,1.085555766427248
ml_risk_control,XGBoost,3,0.592347407820482,0.44246334975572554,0.16413644321903617,2.316243968146253,-0.1018536075795784,4.344110731767927,0.59375,0.027124051397242367,320,0.677308288015859,0.13999999999999999,0.9375,320,1.0,8.679696447117557,-0.30982279138611324,0.32269171198414104,1.1065260190409427,-0.5141786112204607,-0.3556160972451927,0.12404253704788053,-1.9669498385250341,False,True,real ML timing strategy,1.0848913318399305
ml_vol_target_trend,XGBoost,1,0.8367922212601471,0.61416257874811,0.23747951691322855,2.1395993226471095,-0.17260282010543826,3.558241854756111,0.59375,0.010573629311813004,320,0.9028682118263603,0.6,1.0,115,0.359375,3.3835613797801614,-0.1473707698355938,0.09713178817363965,1.1065260190409427,-0.26973379778079565,-0.18391686825280829,0.0589840179667616,-1.9675580817659555,False,True,real ML timing strategy,1.0837943699645594
ml_signal_benchmark_aware,LightGBM,20,0.7144689297277731,0.5288929393099546,0.20842367711780552,2.1441212235923373,-0.13070978725356286,4.046314743699793,0.59375,0.02730837845003889,320,0.8314384265965131,0.36899999999999994,1.0,268,0.8375,8.738681104012445,-0.22511728910246762,0.16856157340348682,1.1065260190409427,-0.3920570893131696,-0.26918650769096364,0.07642394732817259,-2.3196899841738685,False,True,real ML timing strategy,1.0813887429304276
ml_vol_target_trend,LightGBM,1,0.833641816080515,0.6119819415780265,0.2360086852352294,2.1457107839754848,-0.17260282010543793,3.5456080103684573,0.59375,0.010417379311813005,320,0.9005244618263604,0.6,1.0,115,0.359375,3.3335613797801615,-0.14953538254543397,0.09947553817363966,1.1065260190409427,-0.2728842029604277,-0.18609750542289172,0.06101142645811281,-1.9301157273445553,False,True,real ML timing strategy,1.0799506343059093
ml_enhanced_cppi,HistGradientBoosting,20,0.715416715394035,0.5295584923181875,0.20008961549518783,2.2273153652766573,-0.13520034998491925,3.916842614514359,0.59375,0.04390625,320,0.7832812499999999,0.5,0.9500000000000001,320,1.0,14.05,-0.22667024730273821,0.21671874999999993,1.1065260190409427,-0.39110930364690777,-0.26852095468273074,0.08649788388157721,-2.063666898432932,False,True,real ML timing strategy,1.0791550638992207
ml_vol_target_trend,ExtraTrees,3,0.8316680471326372,0.6106153390135907,0.23614559568949295,2.141008197116348,-0.17260282010543804,3.5376903960235615,0.59375,0.010784301278686629,320,0.9022231650315774,0.6,1.0,115,0.359375,3.4509764091797215,-0.15057249357651967,0.0977768349684224,1.1065260190409427,-0.2748579719083055,-0.1874641079873276,0.06098707917030964,-1.944278038965925,False,True,real ML timing strategy,1.074982566431311
ml_signal_benchmark_aware,HistGradientBoosting,20,0.7178306256544689,0.5312532329205637,0.20813543246956392,2.1542977538047485,-0.13344723398348046,3.9809984595583896,0.59375,0.02669600736303082,320,0.8282006241324357,0.36899999999999994,1.0,257,0.803125,8.542722356169863,-0.223212444595905,0.17179937586756436,1.1065260190409427,-0.38869539338647385,-0.26682621408035456,0.0772794583806867,-2.2745992764773986,False,True,real ML timing strategy,1.0733714177276075
ml_vol_target_trend,RandomForest,3,0.8291788862357676,0.6088914419445381,0.23621705493161574,2.1358889088716353,-0.17260282010543793,3.527702743052428,0.59375,0.010417379311813005,320,0.9019685949487617,0.6,1.0,110,0.34375,3.3335613797801615,-0.15191378674397052,0.09803140505123836,1.1065260190409427,-0.2773471328051751,-0.18918800505638012,0.060972210990176016,-1.9620759214415266,False,True,real ML timing strategy,1.0689600884668011
ml_vol_target_trend,HistGradientBoosting,1,0.8282181336314249,0.6082259283434774,0.23616894759131776,2.134520906706355,-0.17260282010543793,3.523846991445043,0.59375,0.010729879311813005,320,0.9011873449487616,0.6,1.0,110,0.34375,3.4335613797801616,-0.1524545252408018,0.09881265505123836,1.1065260190409427,-0.2783078854095178,-0.18985351865744082,0.06097621067696118,-1.9689307894708725,False,True,real ML timing strategy,1.0668177848913973
ml_vol_target_trend,GradientBoosting,3,0.829775788205239,0.6093048786964852,0.23792128608824661,2.123381674869666,-0.17260282010543826,3.5300980501029926,0.59375,0.010573629311813004,320,0.904953337554943,0.6,1.0,105,0.328125,3.3835613797801614,-0.15107021693261022,0.09504666244505706,1.1065260190409427,-0.2767502308357037,-0.18877456830443307,0.058911335144247956,-2.0194381190501067,False,True,real ML timing strategy,1.0662838816457945
ml_vol_target_trend,LightGBM,3,0.829775788205239,0.6093048786964852,0.23792128608824661,2.123381674869666,-0.17260282010543826,3.5300980501029926,0.59375,0.010573629311813004,320,0.904953337554943,0.6,1.0,105,0.328125,3.3835613797801614,-0.15107021693261022,0.09504666244505706,1.1065260190409427,-0.2767502308357037,-0.18877456830443307,0.058911335144247956,-2.0194381190501067,False,True,real ML timing strategy,1.0662838816457945
ml_vol_target_trend,GradientBoosting,5,0.8293582314919226,0.6090156662261319,0.2378388878371066,2.123277478956674,-0.17260282010543793,3.5284224548249115,0.59375,0.009948629311813003,320,0.905734587554943,0.6,1.0,105,0.328125,3.183561379780161,-0.15132386109334084,0.09426541244505707,1.1065260190409427,-0.27716778754902016,-0.18906378077478636,0.05890713756147804,-2.022972861083897,False,True,real ML timing strategy,1.0654999471029645
ml_vol_target_trend,GradientBoosting,10,0.8293582314919226,0.6090156662261319,0.2378388878371066,2.123277478956674,-0.17260282010543793,3.5284224548249115,0.59375,0.009948629311813003,320,0.905734587554943,0.6,1.0,105,0.328125,3.183561379780161,-0.15132386109334084,0.09426541244505707,1.1065260190409427,-0.27716778754902016,-0.18906378077478636,0.05890713756147804,-2.022972861083897,False,True,real ML timing strategy,1.0654999471029645
ml_vol_target_trend,GradientBoosting,20,0.8293582314919226,0.6090156662261319,0.2378388878371066,2.123277478956674,-0.17260282010543793,3.5284224548249115,0.59375,0.009948629311813003,320,0.905734587554943,0.6,1.0,105,0.328125,3.183561379780161,-0.15132386109334084,0.09426541244505707,1.1065260190409427,-0.27716778754902016,-0.18906378077478636,0.05890713756147804,-2.022972861083897,False,True,real ML timing strategy,1.0654999471029645
ml_signal_benchmark_aware,RandomForest,10,0.7181199802488729,0.5314563469165641,0.20462034874768234,2.188031430423955,-0.1365200215879795,3.89288208963599,0.59375,0.030226356855318735,320,0.8229426742758224,0.3536733333333333,1.0,277,0.865625,9.672434193701996,-0.22406316242717036,0.1770573257241777,1.1065260190409427,-0.3884060387920698,-0.2666231000843542,0.0813538220193736,-2.168917649245501,False,True,real ML timing strategy,1.064621207521044
ml_risk_control,XGBoost,5,0.5888757560030686,0.4399861879978646,0.16344948474926357,2.3147603928912526,-0.10325951751202966,4.260974664602771,0.59375,0.028613785467425712,320,0.673312260020383,0.16386999999999993,0.9458000000000001,320,1.0,9.156411349576228,-0.3121512396692807,0.326687739979617,1.1065260190409427,-0.5176502630378741,-0.35809325900305367,0.1266616696798987,-1.9407536775789893,False,True,real ML timing strategy,1.0636444390467599
ml_vol_target_trend,ExtraTrees,5,0.8267391400494899,0.6072012837819889,0.23696012418390947,2.125498262079009,-0.17260282010543793,3.5179105614327026,0.59375,0.011042379311813006,320,0.9004060949487617,0.6,1.0,110,0.34375,3.5335613797801617,-0.15302496843264873,0.09959390505123837,1.1065260190409427,-0.2797868789914528,-0.19087816321892936,0.05942749317829274,-2.0278015476636138,False,True,real ML timing strategy,1.0614447119187904
ml_vol_target_trend,HistGradientBoosting,10,0.8270864292881508,0.6074419010841587,0.23762545983242972,2.120846145666919,-0.17260282010543815,3.519304613407184,0.59375,0.009948629311813003,320,0.905079420659231,0.6,1.0,105,0.328125,3.183561379780161,-0.15263295768596655,0.0949205793407691,1.1065260190409427,-0.27943958975279193,-0.19063754591675952,0.059030894431430704,-2.036195713031575,False,True,real ML timing strategy,1.0606751766287208
ml_vol_target_trend,GradientBoosting,1,0.8270141121081505,0.607391797353463,0.2375631112546335,2.121205016421227,-0.17260282010543826,3.519014330023254,0.59375,0.010729879311813005,320,0.9027498449487616,0.6,1.0,110,0.34375,3.4335613797801616,-0.15269261138498286,0.09725015505123838,1.1065260190409427,-0.27951190693279226,-0.19068764964745522,0.05909161688795146,-2.0348983121189828,False,True,real ML timing strategy,1.0606524639982264
ml_vol_target_trend,RandomForest,1,0.8244350065849853,0.605604632187116,0.23528600280755546,2.134703362637027,-0.17260282010543815,3.5086601239607176,0.59375,0.012456963650235738,320,0.8960883841027047,0.6,1.0,115,0.359375,3.9862283680754365,-0.15479323606466416,0.10391161589729518,1.1065260190409427,-0.28209101245595747,-0.19247481481380224,0.06189946811685827,-1.9693169765334986,False,True,real ML timing strategy,1.0600520211272944
ml_vol_target_trend,XGBoost,10,0.8251462377625742,0.6060975262401382,0.2372549545842493,2.1202517777740164,-0.17260282010543793,3.5115157786523494,0.59375,0.010471801278686629,320,0.9031304981358655,0.6,1.0,115,0.359375,3.3509764091797214,-0.15380984829547759,0.09686950186413446,1.1065260190409427,-0.2813797812783685,-0.19198192076078002,0.05910292027364342,-2.0493954439456634,False,True,real ML timing strategy,1.0569989077843065
ml_vol_target_trend,LightGBM,10,0.825053390662412,0.606033184100367,0.23755931686133472,2.1176735482346483,-0.17260282010543793,3.5111430029367967,0.59375,0.010159301278686628,320,0.9045527407420468,0.6,1.0,110,0.34375,3.2509764091797213,-0.15376814390056504,0.09544725925795315,1.1065260190409427,-0.2814726283785307,-0.19204626290055127,0.0590286547869112,-2.0514174642608585,False,True,real ML timing strategy,1.0560580366792232
ml_enhanced_cppi,ExtraTrees,20,0.7245736788768109,0.5359846686699714,0.20154722345592302,2.2334933472228307,-0.14262043093004495,3.7581198231890833,0.59375,0.049531250000000006,320,0.7925000000000001,0.5,0.9500000000000001,320,1.0,15.850000000000001,-0.2209664914737771,0.20749999999999993,1.1065260190409427,-0.3819523401641318,-0.26209477833094685,0.08589364436953584,-2.0258904289467607,False,True,real ML timing strategy,1.0547108232282305
ml_risk_control,LightGBM,3,0.5975498319858967,0.446173339398918,0.16449541919250774,2.3272540852368113,-0.10740034057623105,4.1543009733961815,0.59375,0.027657278643415474,320,0.6783582702818628,0.13999999999999999,0.9430999999999999,320,1.0,8.850329165892951,-0.30646712185032543,0.32164172971813715,1.1065260190409427,-0.508976187055046,-0.35190610760200025,0.12590940146554905,-1.9167977581337865,False,True,real ML timing strategy,1.0526614729598371
ml_enhanced_cppi,ExtraTrees,10,0.727106943951525,0.5377611824428612,0.20068102055249645,2.2480330865386327,-0.14476288800188541,3.7147724107014035,0.59375,0.05203125000000001,320,0.791875,0.5,0.9500000000000001,320,1.0,16.650000000000002,-0.2197179945819495,0.20812499999999998,1.1065260190409427,-0.37941907508941775,-0.26031826455805707,0.08674887700306866,-1.9945839843801612,False,True,real ML timing strategy,1.0518652990642292
ml_enhanced_cppi,XGBoost,20,0.7142225441676282,0.5287199099100006,0.20044784467941767,2.220943647071675,-0.1390103072734561,3.8034583210432142,0.59375,0.047031250000000004,320,0.7846875000000001,0.5,0.9500000000000001,320,1.0,15.05,-0.22727889214688762,0.21531249999999993,1.1065260190409427,-0.3923034748733145,-0.26935953709091764,0.08659662366511439,-2.0668487983761574,False,True,real ML timing strategy,1.0514675398728217
ml_signal_benchmark_aware,XGBoost,20,0.696664281984889,0.5163755903143132,0.20682057001314147,2.1192737218048374,-0.12919608215853806,3.9968362947775966,0.59375,0.027634771009720803,320,0.8219392405223298,0.36899999999999994,1.0,263,0.821875,8.843126723110657,-0.23600774046741377,0.17806075947767028,1.1065260190409427,-0.4098617370560538,-0.281703856686605,0.07732764413500742,-2.4034883992275717,False,True,real ML timing strategy,1.0469910074143667
