factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,mean_when_big_up,mean_when_big_down,difference_big_up_down,missing_rate,max_abs_tail_corr
breakout_high_20,5,-0.16018827400495614,-0.21066939521512273,0.05566453930659057,-0.05307863766070078,-0.03530646179076135,-0.017772175869939427,0.0046875,0.21066939521512273
volatility_20,5,0.20066003616463646,0.2101179372447523,-0.06145533869621927,0.018789621254430972,0.015672712394836245,0.003116908859594727,0.005208333333333333,0.2101179372447523
volatility_10,10,0.220486861930509,0.2100276013505314,-0.05608588382960276,0.0182840102119522,0.014926419319904523,0.003357590892047676,0.0026109660574412533,0.2100276013505314
volatility_10,5,0.1739815158753704,0.20996266488616414,-0.040483134991871415,0.018439241649513726,0.015288672674074051,0.0031505689754396746,0.0026041666666666665,0.20996266488616414
atr_ratio_10,5,0.2140407386676765,0.20866497148668786,-0.05149248737809868,0.022652926234058093,0.019037525916286775,0.0036154003177713175,0.0020833333333333333,0.20866497148668786
volatility_ratio_20_60,5,0.15347830162892376,0.2079736855201097,-0.10029616413206072,1.0356276932556419,0.925647738553765,0.10997995470187683,0.015625,0.2079736855201097
breakout_high_prior_20,5,-0.1526269114966224,-0.20728629196828424,0.05632057812060698,-0.052487635825835446,-0.03402431913286364,-0.018463316692971805,0.005208333333333333,0.20728629196828424
m5_bar_range_max,10,0.23927177392393092,0.20657401812935275,-0.06385126367716797,0.01264201712937593,0.009694498952822624,0.0029475181765533064,0.8402088772845953,0.20657401812935275
large_down_return_sum_20,10,-0.21605436034373238,-0.20628636014383092,0.057233190251154926,-0.12115519835518995,-0.0906527117348672,-0.030502486620322747,0.004699738903394256,0.20628636014383092
m5_last_hour_return_std_5,20,0.18437268145062713,0.20620169745617034,-0.007192256614882291,0.00814916274006476,0.006667384499943965,0.0014817782401207943,0.8456692913385827,0.20620169745617034
true_range_pct,10,0.21716865502359922,0.20616605142520394,-0.07097863779912751,0.023729139235142742,0.01817846599788318,0.005550673237259562,0.0005221932114882506,0.20616605142520394
bollinger_width,3,0.18083269270205923,0.20613127430982187,-0.039571595497088136,0.14683633086928147,0.11800947401439983,0.028826856854881636,0.004682622268470343,0.20613127430982187
breakout_high_60,10,-0.16339325077302033,-0.2060304015821544,0.0795777559761613,-0.07600919569052994,-0.050763278292264645,-0.025245917398265295,0.015143603133159269,0.2060304015821544
volatility_5,10,0.19429417743256247,0.20592445054495986,-0.0399180593767195,0.017501243801966198,0.014121514524851504,0.0033797292771146938,0.001566579634464752,0.20592445054495986
downside_volatility_10,5,0.1429303123248878,0.20494214486257092,-0.028879966518230327,0.011199969817584058,0.008939227810527006,0.0022607420070570525,0.0020833333333333333,0.20494214486257092
m5_last_hour_volume_share_mean_5,20,-0.26179732359261104,-0.20434800621086371,0.15453725053322875,0.2225290530004923,0.22920228141844023,-0.0066732284179479295,0.8456692913385827,0.20434800621086371
breakout_high_60,5,-0.1278724757818115,-0.20372601629231304,0.04937174911369424,-0.0768210794082644,-0.05485118260572448,-0.021969896802539912,0.015104166666666667,0.20372601629231304
volatility_5,5,0.1827146079385466,0.20303387867401054,-0.08615615753889994,0.017615637500131513,0.013504229428875,0.004111408071256513,0.0015625,0.20303387867401054
bollinger_width,20,0.3116619080578416,0.20269810775096,-0.08431315747198782,0.1425727550239184,0.10781789673377735,0.034754858290141036,0.004724409448818898,0.20269810775096
breakout_high_prior_60,10,-0.15705677059613937,-0.20193149844166988,0.07730363060590449,-0.07511772925864461,-0.04979921711712449,-0.025318512141520123,0.015665796344647518,0.20193149844166988
downside_return_sum_20,5,-0.18391251835738442,-0.2017484442524928,0.0518978182180582,-0.1397096603274914,-0.11100713171535095,-0.028702528612140454,0.0046875,0.2017484442524928
m5_intraday_volatility_mean_5,1,0.0685682122879906,0.20020125316810444,0.009535187315520935,0.0021738102123035584,0.0019505229699100753,0.00022328724239348307,0.8373180873180873,0.20020125316810444
sell_pressure_volume_20,10,0.22689559743918244,0.19997795987632422,-0.0673551671626929,0.06628628018612996,0.048174257709248804,0.018112022476881158,0.004699738903394256,0.19997795987632422
m5_intraday_range_mean_5,3,0.17604722659822641,0.199894443974118,0.007799703630969016,0.03290896163403247,0.028457467389349896,0.004451494244682577,0.8381893860561914,0.199894443974118
m5_last_hour_volume_share_std_5,5,0.20416778696840776,0.19976742991265106,-0.08072210717341192,0.02289271707974642,0.018666401831150876,0.004226315248595545,0.8390625,0.19976742991265106
breakout_high_prior_60,5,-0.12407071107511405,-0.19957710554272776,0.05108906619336229,-0.07593750440752185,-0.053573679205659405,-0.022363825201862447,0.015625,0.19957710554272776
drawdown_20,5,-0.14904974997709394,-0.19949643465889227,0.0481663566897751,-0.04792142518634709,-0.0317659468492417,-0.016155478337105386,0.0046875,0.19949643465889227
m5_low_to_close_recovery,20,0.2172047018088295,0.19930451262812773,-0.07631335284411765,0.019646929785255698,0.013435979069062241,0.006210950716193457,0.8446194225721785,0.19930451262812773
drawdown_60,10,-0.15252611505013636,-0.19907186795259565,0.0747955565784349,-0.07161574203229754,-0.047523971902326274,-0.02409177012997126,0.015143603133159269,0.19907186795259565
m5_midday_reversal_std_5,20,0.1701363254577089,0.1985394579355014,0.022658189684913035,0.00780671962296912,0.006714554791454449,0.001092164831514671,0.8456692913385827,0.1985394579355014
drawdown_60,5,-0.12136840109912812,-0.19836181776101244,0.044323295717432584,-0.0725624173651151,-0.05159917721479205,-0.020963240150323047,0.015104166666666667,0.19836181776101244
daily_range_pct,10,0.20925045656235064,0.1982983716893441,-0.06762695131498944,0.022302291565832053,0.01740780556533041,0.004894486000501644,0.0005221932114882506,0.1982983716893441
m5_down_volume_pressure,10,0.12004640409362055,0.196526505918948,-0.015693275631856757,0.0007556544232606837,0.0006206519020959597,0.00013500252116472396,0.8402088772845953,0.196526505918948
atr_ratio_20,5,0.21316140594133265,0.19561290749516377,-0.04868400980353772,0.0219853368101955,0.019057920164640498,0.0029274166455550005,0.0046875,0.19561290749516377
downside_volatility_20,3,0.13778399753710427,0.1954533990305493,-0.02266798115258586,0.011741478754994584,0.009860115543721388,0.0018813632112731956,0.004682622268470343,0.1954533990305493
downside_volatility_5,5,0.1375247896822119,0.19543336125363173,-0.06973951719880754,0.010169813291336012,0.007202840597299732,0.0029669726940362807,0.0010416666666666667,0.19543336125363173
m5_bar_range_mean,5,0.0876570567603176,0.19528248396065037,0.0003947578542710225,0.0024317410913915604,0.002144809340213733,0.0002869317511778272,0.8380208333333333,0.19528248396065037
atr_ratio_10,3,0.16688889200758594,0.19516972338140617,-0.020736936785922967,0.02255905769829102,0.01956385272997797,0.002995204968313049,0.002081165452653486,0.19516972338140617
m5_intraday_volatility,5,0.11584075954624555,0.19486183937797205,-0.00737902698061422,0.002233474742834453,0.0019247122147399698,0.00030876252809448304,0.8380208333333333,0.19486183937797205
large_down_return_sum_20,5,-0.1678164499142938,-0.1947475894191351,0.03867826273332979,-0.1210602996282867,-0.09418564718015335,-0.02687465244813335,0.0046875,0.1947475894191351
atr_ratio_5,3,0.16979255993842574,0.19371189739296932,-0.03119637722913428,0.023007995974359874,0.019411476290689116,0.0035965196836707583,0.001040582726326743,0.19371189739296932
m5_last30_return_std_5,20,0.14825660719359313,0.19334956035383744,0.045108316220847176,0.004597141708764651,0.004090268809258305,0.0005068728995063464,0.8456692913385827,0.19334956035383744
volatility_20,3,0.15787205177606503,0.19288910786714308,-0.026306946235228675,0.018647522878824707,0.016146061219724204,0.0025014616591005033,0.005202913631633715,0.19288910786714308
volatility_10,3,0.1456677312557105,0.19261724470691982,-0.017887180483275533,0.018300519532644426,0.015647739971452645,0.0026527795611917815,0.0026014568158168575,0.19261724470691982
breakout_high_20,3,-0.10700913794668755,-0.1925489285099448,0.011832793631467947,-0.052443698312157165,-0.03888296423891886,-0.013560734073238302,0.004682622268470343,0.1925489285099448
m5_close_30m_range,10,0.0707544335241001,0.19188051021543717,-0.011881443027826653,0.005629204526342637,0.004653895692996083,0.0009753088333465535,0.8402088772845953,0.19188051021543717
