model_name,horizon,target_name,validation_auc,test_auc,validation_logloss,test_logloss,logloss_gap,validation_return_corr,test_return_corr,validation_score,test_score,score_gap,auc_gap,validation_selection_score,test_selection_score,is_validation_prediction_best,is_final_strategy_used,final_strategy_name,stability_comment
LogisticRegression,10,target_big_down,0.6360698125404007,0.5319341883663687,2.123998019328409,1.4451299023809332,0.6788681169474757,,,0.6360698125404007,0.5319341883663687,0.104135624174032,0.104135624174032,0.5215919044275202,0.492524399311407,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,20,target_trade,0.7673015873015874,0.6661359461114513,1.263461235708322,0.9574827401951848,0.30597849551313716,,,0.7673015873015874,0.6661359461114513,0.10116564119013605,0.10116564119013605,0.6921154861207556,0.598857198746542,False,False,,weak or unstable predictive evidence
RidgeClassifier,3,target_up,0.6143931256713211,0.5136195647214491,0.7135841779177657,0.7154630473526213,-0.0018788694348556012,,,0.6143931256713211,0.5136195647214491,0.100773560949872,0.100773560949872,0.5688823870401634,0.4723984718214687,False,False,,weak or unstable predictive evidence
RandomForestDeep,5,target_clean_direction,0.5826086956521739,0.4823014629049112,0.7116427913731719,0.7387636769636454,-0.027120885590473542,,,0.5826086956521739,0.4823014629049112,0.10030723274726266,0.10030723274726266,0.4981436456781545,0.466947972154182,False,False,,weak or unstable predictive evidence
RandomForest,5,target_big_down,0.5271535580524345,0.4268973214285714,0.7035257860650609,0.6641236839593163,0.039402102105744574,,,0.5271535580524345,0.4268973214285714,0.10025623662386307,0.10025623662386307,0.4772509032507559,0.5022882563710257,False,False,,weak or unstable predictive evidence
RidgeClassifier,3,target_big_down,0.5918304668304668,0.4922297887200977,0.7062358742689419,0.688862660085912,0.01737321418302984,,,0.5918304668304668,0.4922297887200977,0.0996006781103691,0.0996006781103691,0.5688823870401634,0.4723984718214687,False,False,,weak or unstable predictive evidence
mlp_tiny,10,target_big_up,0.55609881626351,0.4572881073422785,1.684089415196676,1.3959683480781455,0.2881210671185306,,,0.55609881626351,0.4572881073422785,0.0988107089212315,0.0988107089212315,0.5811000634350071,0.3796814454864914,False,False,,weak or unstable predictive evidence
ExtraTreesDeep,5,target_up,0.5979437229437229,0.5007763975155279,0.7122509904425754,0.6877132240718251,0.024537766370750336,,,0.5979437229437229,0.5007763975155279,0.09716732542819495,0.09716732542819495,0.5734395904425622,0.4564124550678857,False,False,,weak or unstable predictive evidence
HistGradientBoosting,5,target_clean_direction,0.5557971014492754,0.4602925809822362,0.8093576103861665,0.8543494437963748,-0.04499183341020829,,,0.5557971014492754,0.4602925809822362,0.09550452046703922,0.09550452046703922,0.5179130807743705,0.4357923609209597,False,False,,weak or unstable predictive evidence
mlp_small,5,target_up,0.5524891774891775,0.4583656832298136,1.9071710993182107,1.9568876149951016,-0.04971651567689084,,,0.5524891774891775,0.4583656832298136,0.0941234942593639,0.0941234942593639,0.4990158533133702,0.4496856511669222,False,False,,weak or unstable predictive evidence
LightGBM,5,target_trade,0.5630630630630631,0.469060101104662,0.8893934615707736,0.750424873455778,0.13896858811499557,,,0.5630630630630631,0.469060101104662,0.09400296195840108,0.09400296195840108,0.5204398138141483,0.4281384859848807,False,True,ml_risk_budget_enhancement,"selected by strategy-layer utility, not pure prediction score"
LightGBMRegularized,5,target_clean_direction,0.5532608695652174,0.4593129571577848,0.8922756517058864,0.8006976606133246,0.09157799109256182,,,0.5532608695652174,0.4593129571577848,0.09394791240743255,0.09394791240743255,0.5103769504230764,0.4372775641460901,False,False,,weak or unstable predictive evidence
XGBoostRegularized,3,target_big_down,0.5485257985257986,0.4546301146615447,0.6430303608041872,0.6054703149167997,0.03756004588738748,,,0.5485257985257986,0.4546301146615447,0.09389568386425395,0.09389568386425395,0.5121397708580456,0.4912617720753,False,False,,weak or unstable predictive evidence
ExtraTrees,3,target_big_down,0.5015356265356266,0.4085326814504394,0.7344568101403612,0.6899899619715056,0.0444668481688556,,,0.5015356265356266,0.4085326814504394,0.09300294508518714,0.09300294508518714,0.4499822327482173,0.4872369947579831,False,False,,weak or unstable predictive evidence
ExtraTrees,20,target_big_up,0.518013381369017,0.4255413168360583,0.7698207660665662,0.7485566489842757,0.02126411708229059,,,0.518013381369017,0.4255413168360583,0.0924720645329587,0.0924720645329587,0.659248538152742,0.4542656038895428,False,False,,weak or unstable predictive evidence
RandomForestDeep,20,target_big_up,0.5193000514668039,0.4288555015466195,0.829174859216295,0.9246862464910456,-0.09551138727475061,,,0.5193000514668039,0.4288555015466195,0.09044454992018441,0.09044454992018441,0.7061171094132181,0.44148046955079,False,False,,weak or unstable predictive evidence
ExtraTrees,10,target_big_down,0.601163542340013,0.5112061147817074,0.7251829962550389,0.708471132008122,0.016711864246916952,,,0.601163542340013,0.5112061147817074,0.0899574275583056,0.0899574275583056,0.5640734286150841,0.4839468169513137,False,False,,weak or unstable predictive evidence
ExtraTrees,5,target_ret,,,,,,0.1826264622082211,0.0932133856407375,0.1826264622082211,0.0932133856407375,0.0894130765674836,,0.4948697287623254,0.4606453954363562,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,3,target_big_down,0.5835380835380835,0.4943833304231418,1.4318604072237835,0.9982934910724384,0.4335669161513451,,,0.5835380835380835,0.4943833304231418,0.08915475311494164,0.08915475311494164,0.5445623219607291,0.4723958262181938,False,False,,weak or unstable predictive evidence
ElasticNet,5,target_trade,0.6033386327503973,0.5147912375959558,1.436003960599738,1.2732572230053265,0.16274673759441138,,,0.6033386327503973,0.5147912375959558,0.08854739515444154,0.08854739515444154,0.5802573248528965,0.4936190728703079,False,False,,weak or unstable predictive evidence
HistGradientBoosting,5,target_trade,0.566507684154743,0.4780471821756226,0.8534168814096237,0.7910127055276701,0.06240417588195357,,,0.566507684154743,0.4780471821756226,0.08846050197912037,0.08846050197912037,0.5179130807743705,0.4357923609209597,False,False,,weak or unstable predictive evidence
LightGBMRegularized,5,target_trade,0.5532591414944357,0.4648942145665606,0.8579552149118611,0.7485307192376128,0.10942449567424828,,,0.5532591414944357,0.4648942145665606,0.08836492692787506,0.08836492692787506,0.5103769504230764,0.4372775641460901,False,False,,weak or unstable predictive evidence
XGBoost,5,target_clean_direction,0.5489130434782609,0.4611415882967608,0.8035333824869609,0.8038660699982186,-0.000332687511257701,,,0.5489130434782609,0.4611415882967608,0.08777145518150009,0.08777145518150009,0.5280042678021251,0.4480333929651244,False,False,,weak or unstable predictive evidence
RidgeClassifier,20,target_trade,0.7619047619047619,0.6743417023882424,0.6007202037845568,0.610460579044565,-0.00974037526000815,,,0.7619047619047619,0.6743417023882424,0.08756305951651944,0.08756305951651944,0.6876724232573352,0.6385530658428725,False,False,,weak or unstable predictive evidence
ElasticNet,3,target_big_down,0.5823095823095824,0.4947907572318259,1.5855770944904093,1.1430026612876802,0.44257443320272905,,,0.5823095823095824,0.4947907572318259,0.08751882507775649,0.08751882507775649,0.5409650024553089,0.485003636633011,False,False,,weak or unstable predictive evidence
ElasticNet,3,target_big_up,0.6094329623741388,0.5232436939754013,1.4638768894520449,1.2886439019369498,0.17523298751509508,,,0.6094329623741388,0.5232436939754013,0.08618926839873753,0.08618926839873753,0.5409650024553089,0.485003636633011,False,False,,weak or unstable predictive evidence
LogisticRegression,3,target_big_down,0.5795454545454545,0.4945579419125778,1.6829029196720144,1.2621921904710194,0.42071072920099506,,,0.5795454545454545,0.4945579419125778,0.08498751263287668,0.08498751263287668,0.5422166494090299,0.4686241245175297,False,False,,weak or unstable predictive evidence
ExtraTreesDeep,10,target_big_down,0.5597931480284422,0.4762922658375437,0.7122078556774791,0.644440204160169,0.06776765151731012,,,0.5597931480284422,0.4762922658375437,0.08350088219089846,0.08350088219089846,0.6241029136265633,0.4118509175195295,False,False,,weak or unstable predictive evidence
LogisticRegression,5,target_trade,0.5977742448330684,0.5144635835985771,1.711941282136528,1.3752314888138677,0.3367097933226604,,,0.5977742448330684,0.5144635835985771,0.08331066123449127,0.08331066123449127,0.5635804550588884,0.4804733026591868,False,False,,weak or unstable predictive evidence
XGBoost,3,target_big_down,0.523955773955774,0.4410104184855363,0.6928310856577887,0.6354881128984998,0.0573429727592889,,,0.523955773955774,0.4410104184855363,0.08294535547023768,0.08294535547023768,0.5041200982336582,0.4798770191957249,False,False,,weak or unstable predictive evidence
GradientBoosting,5,target_ret,,,,,,0.043841324979142,-0.0389916874761975,0.043841324979142,-0.0389916874761975,0.0828330124553395,,0.4678265212265409,0.4269783209988572,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,3,target_up,0.5878088077336198,0.507094949126249,1.2982125641080997,1.034287214308585,0.26392534979951465,,,0.5878088077336198,0.507094949126249,0.08071385860737079,0.08071385860737079,0.5445623219607291,0.4723958262181938,False,False,,weak or unstable predictive evidence
mlp_small,20,target_ret,,,,,,0.0064255007111018,-0.0739638337089625,0.0064255007111018,-0.0739638337089625,0.08038933442006431,,0.6763800160700612,0.4365303889758192,False,False,,weak or unstable predictive evidence
ElasticNet,10,target_trade,0.5836543753439736,0.5035426731078905,1.6883060567363366,1.9640826643616027,-0.2757766076252661,,,0.5836543753439736,0.5035426731078905,0.0801117022360831,0.0801117022360831,0.5604185127360527,0.4960554265456656,False,False,,weak or unstable predictive evidence
ExtraTrees,5,target_trade,0.5217276099629042,0.4420988578917806,0.720310135815282,0.6890337615663451,0.03127637424893692,,,0.5217276099629042,0.4420988578917806,0.07962875207112363,0.07962875207112363,0.4948697287623254,0.4606453954363562,False,False,,weak or unstable predictive evidence
ElasticNet,3,target_up,0.5878088077336198,0.5086462563307022,1.4228027486866237,1.1478180032101497,0.274984745476474,,,0.5878088077336198,0.5086462563307022,0.07916255140291761,0.07916255140291761,0.5409650024553089,0.485003636633011,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,5,target_trade,0.5924748277689454,0.5134806216064407,1.229002129869993,1.1468023552924325,0.08219977457756045,,,0.5924748277689454,0.5134806216064407,0.07899420616250474,0.07899420616250474,0.5845909887088439,0.4732898777691721,False,False,,weak or unstable predictive evidence
XGBoostRegularized,3,target_ret,,,,,,0.1113870075278719,0.032454843556406,0.1113870075278719,0.032454843556406,0.0789321639714659,,0.5121397708580456,0.4912617720753,False,False,,weak or unstable predictive evidence
ExtraTrees,5,target_up,0.5505952380952381,0.4718070652173913,0.7030297973647686,0.681985331794473,0.0210444655702956,,,0.5505952380952381,0.4718070652173913,0.07878817287784684,0.07878817287784684,0.4948697287623254,0.4606453954363562,False,False,,weak or unstable predictive evidence
ElasticNet,20,target_clean_direction,0.7642045454545454,0.6854733049459547,2.3979778970633094,1.3971360190609547,1.0008418780023547,,,0.7642045454545454,0.6854733049459547,0.0787312405085907,0.0787312405085907,0.6878357396998861,0.6520359965727028,False,False,,weak or unstable predictive evidence
RandomForest,20,target_big_up,0.5203293875450334,0.4418029164825452,0.7410051607704936,0.7986560222844622,-0.05765086151396859,,,0.5203293875450334,0.4418029164825452,0.07852647106248822,0.07852647106248822,0.6905485160560216,0.4591650320091324,False,False,,weak or unstable predictive evidence
LogisticRegression,3,target_up,0.5872717508055854,0.5094219099329287,1.59002775273485,1.2336559114570351,0.35637184127781496,,,0.5872717508055854,0.5094219099329287,0.07784984087265667,0.07784984087265667,0.5422166494090299,0.4686241245175297,False,False,,weak or unstable predictive evidence
HistGradientBoosting,3,target_clean_direction,0.5764790764790765,0.4996612466124661,0.7168876946097508,0.7738684808835607,-0.05698078627380998,,,0.5764790764790765,0.4996612466124661,0.0768178298666104,0.0768178298666104,0.5231470171316035,0.4587415294469714,False,False,,weak or unstable predictive evidence
XGBoost,5,target_trade,0.5842607313195548,0.5108593896274106,0.7637965682345005,0.7377089930755921,0.02608757515890836,,,0.5842607313195548,0.5108593896274106,0.07340134169214418,0.07340134169214418,0.5280042678021251,0.4480333929651244,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,10,target_up,0.578888888888889,0.5058875316386046,1.4430523501626755,1.4648288201967836,-0.021776470034108097,,,0.578888888888889,0.5058875316386046,0.07300135725028445,0.07300135725028445,0.5837005654499138,0.4667562602681269,False,False,,weak or unstable predictive evidence
LightGBM,5,target_up,0.5446428571428571,0.4734083850931676,0.8698594220833771,0.7445749946577603,0.12528442742561674,,,0.5446428571428571,0.4734083850931676,0.07123447204968947,0.07123447204968947,0.5204398138141483,0.4281384859848807,False,True,ml_risk_budget_enhancement,"selected by strategy-layer utility, not pure prediction score"
mlp_small,1,target_clean_direction,0.5304761904761904,0.4597759103641456,1.4060482565312975,0.9415437553944962,0.4645045011368013,,,0.5304761904761904,0.4597759103641456,0.07070028011204482,0.07070028011204482,0.4941828861046527,0.4687388264544566,False,False,,weak or unstable predictive evidence
ExtraTrees,5,target_clean_direction,0.5355072463768117,0.4663009404388715,0.7140510828499356,0.7074081605906729,0.0066429222592626624,,,0.5355072463768117,0.4663009404388715,0.0692063059379402,0.0692063059379402,0.4948697287623254,0.4606453954363562,False,False,,weak or unstable predictive evidence
mlp_tiny,1,target_clean_direction,0.4980952380952381,0.429467787114846,0.9237260974833916,0.9014244029596932,0.022301694523698457,,,0.4980952380952381,0.429467787114846,0.06862745098039208,0.06862745098039208,0.4468046060903424,0.4553234998571394,False,False,,weak or unstable predictive evidence
