factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_close_vwap_position_std_5,20,0.25438705622540664,0.26289355134436615,-0.07184010825467843,0.1976211919235933,0.007879230387001996,0.005610404068125797,0.007680887065676202,0.005515626762639505,0.0022688263188761987,0.8456692913385827,0.26289355134436615
amihud_illiq_20,5,0.24620258186298483,0.2618813005902621,-0.11999042044266804,0.23533363025915569,0.011197901672227183,0.008873302491516988,0.010813174604860962,0.008766372365050592,0.002324599180710195,0.005208333333333333,0.2618813005902621
volatility_ratio_20_60,10,0.1972579392030865,0.2609593994566616,-0.1266128267799965,0.2321411742544503,1.0496094240176876,0.9099792014000598,1.0284092332993366,0.9084146872273221,0.1396302226176278,0.015665796344647518,0.2609593994566616
amihud_illiq_10,5,0.22151215145030348,0.25818294941983067,-0.09398216219025445,0.1988985452705174,0.011437745868721597,0.008886010532033058,0.010869935539272013,0.008742616698139876,0.0025517353366885393,0.0026041666666666665,0.25818294941983067
m5_bar_range_mean,10,0.17613849903581888,0.2570736460609491,-0.04150185574519219,0.1639849238867521,0.0025015403397587645,0.0020634800170434486,0.0023963656845878215,0.002016942545288183,0.00043806032271531594,0.8402088772845953,0.2570736460609491
m5_first_hour_return_std_5,5,0.19960424187857642,0.25675019513558245,-0.08736031933933211,0.19239421218704525,0.016664270879908138,0.012093525432487252,0.01581316627976053,0.011881362308293328,0.004570745447420886,0.8390625,0.25675019513558245
m5_large_drop_count,20,0.20898251600716702,0.25263510000097905,-0.06072253875135878,0.17438553543989702,3.8017241379310347,2.3626373626373627,3.5808823529411766,2.282051282051282,1.439086775293672,0.8446194225721785,0.25263510000097905
amihud_illiq_5,10,0.27382563321623915,0.2511642893818274,-0.09683544074073289,0.19386023644478517,0.011593764608756814,0.008581835988983993,0.010957359808304397,0.008446533349758102,0.0030119286197728204,0.001566579634464752,0.2511642893818274
m5_intraday_range_mean_5,5,0.2513609007630351,0.2500817304376004,-0.09299656440749877,0.20737866784361472,0.03413582189993021,0.025704076618213577,0.03281664827954483,0.02501328010626133,0.008431745281716634,0.8390625,0.2500817304376004
m5_intraday_range,10,0.22918644611965863,0.24871636222485313,-0.06785103008322828,0.1902444112741576,0.03522122185015588,0.02579047309107862,0.033686429953798495,0.024702595635693648,0.009430748759077259,0.8402088772845953,0.24871636222485313
m5_intraday_volatility,10,0.1951208070415442,0.24825752548651625,-0.05722032743959667,0.16892395344506336,0.0022941162765585284,0.001826957098402534,0.0021927989473810123,0.0017892876433682856,0.0004671591781559943,0.8402088772845953,0.24825752548651625
amihud_illiq_5,5,0.21713094107926517,0.24802616224394505,-0.11320543733829977,0.20664156306244838,0.011655232890088716,0.008531427417996262,0.011063859781760752,0.008428876436942121,0.003123805472092454,0.0015625,0.24802616224394505
amihud_illiq_5,20,0.37012121810210125,0.24793427722995892,-0.11901442957817135,0.21175869803495748,0.01154013998741236,0.008225009252272795,0.011069882465399966,0.008248138871108573,0.003315130735139565,0.0015748031496062992,0.24793427722995892
m5_large_drop_count,10,0.11935633197527569,0.24444833456821716,-0.030198644961884846,0.14913459933251766,3.7758620689655173,2.510869565217391,3.4328358208955225,2.328,1.2649925037481262,0.8402088772845953,0.24444833456821716
