experiment_id,family,feature_top_k,search_engine,model_name,horizon,big_up_prob_threshold,big_down_prob_threshold,tail_score_threshold,mild_cut_exposure,defensive_cut_exposure,severe_defensive_exposure,no_trade_band,high_volatility_multiplier,drawdown_threshold,decision_target_label,opportunity_cost_buffer,min_strong_up_position,max_position_change,trial_number,seed,robust_score,avg_excess_return_vs_buy_hold,avg_sharpe,avg_calmar,avg_turnover,avg_max_drawdown,avg_position,avg_missed_upside,avg_avoided_downside,positive_fold_ratio,excess_stability,excess_std,fold_count,status,failure_reason,test_total_return,test_excess_return_vs_buy_hold,test_max_drawdown,test_sharpe,artifact_dir,error
auto_20260614_190800_exp_050,ml_ultra_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.555,0.618,0.053,0.977,0.977,0.949,0.059,1.256,0.121,avoid_loss_label,0.0009,0.979,0.15000000000000002,49,42,1.5076364867148453,-0.0001159844431535273,1.229855386551787,4.247856534289601,0.015333333333333346,-0.23168741942637572,0.9998773333333334,0.00012468118183363934,5.854841986590925e-05,0.0,0.9998360001278377,0.00016402677253200956,3,ok,,1.1139212702163381,0.005180586836216694,-0.17260282010543826,2.335398066890825,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_050,
auto_20260614_190800_exp_029,ml_bull_full_participation_enhancement,50,optuna,RandomForest,20,0.529,0.639,0.0211,0.995,0.989,0.968,0.0868,1.153,0.104,big_up_label,0.0019,0.987,0.2,28,42,1.5065414919094458,-0.00016138667042168522,1.2297140415270496,4.24837283225792,0.021333333333333353,-0.23168741942637575,0.9998293333333333,0.00017346947037723734,8.145867111778678e-05,0.0,0.9997718168613318,0.0002282352180965841,3,ok,,1.1124682007784417,0.0037275173983202237,-0.17260282010543793,2.332490020105842,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_029,
auto_20260614_190800_exp_006,ml_bull_full_participation_enhancement,50,optuna,LightGBM,20,0.575,0.731,0.0326,0.992,0.992,0.966,0.046,1.287,0.119,big_down_label,0.0022,0.995,0.30000000000000004,5,42,1.5062981322727944,-0.00017147735361366934,1.2296825940544485,4.248487567886213,0.022666666666666686,-0.2316874194263757,0.9998186666666666,0.00018431131227581465,8.654983806264845e-05,0.0,0.9997575531955873,0.00024250559912029825,3,ok,,1.1078730483783539,-0.0008676350017675638,-0.17260282010543793,2.330169429128056,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_006,
auto_20260614_190800_exp_037,ml_bull_full_participation_enhancement,80,optuna,RandomForest,20,0.535,0.742,0.0445,0.994,0.988,0.965,0.0714,1.349,0.123,big_down_label,0.0023,0.987,0.25,36,42,1.5024977900173142,-0.00031915093394230265,1.2291319024723582,4.246107059976173,0.04666666666666671,-0.23169380688922633,0.9997072364672365,0.00023718102743033748,5.431380237893769e-05,0.0,0.9995737187211572,0.0004264630720665257,3,ok,,1.1122960465560245,0.0035553631759031035,-0.17260282010543826,2.332324970464172,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_037,
auto_20260614_190800_exp_039,ml_conservative_full_participation_enhancement,80,optuna,ExtraTrees,20,0.544,0.679,0.0335,0.974,0.953,0.941,0.0527,1.089,0.11,avoid_loss_label,0.0019,0.959,0.2,38,42,1.4959463693627588,-0.003887385221382026,1.229189745380418,4.229696132342236,0.08733333333333342,-0.2303530084984913,0.9876353276353277,0.016649594754619367,0.013374984154250077,0.3333333333333333,0.9935470950290838,0.0064948153974798035,3,ok,,1.0945550834150626,-0.01418559996505886,-0.17099792715643314,2.323448314389933,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_039,
auto_20260614_190800_exp_041,ml_conservative_full_participation_enhancement,80,optuna,XGBoost,20,0.602,0.655,0.0095,0.977,0.958,0.945,0.0243,1.113,0.098,avoid_loss_label,0.0017,0.961,0.15000000000000002,40,42,1.476156140839002,-0.0046111481401115055,1.223970444482158,4.189754628152528,0.20900000000000019,-0.23050718336731302,0.9889808091168092,0.015357577078334858,0.012375444051632245,0.3333333333333333,0.9899714147110554,0.010130176629263112,3,ok,,1.0842945051637631,-0.024446178216358305,-0.1700997810573992,2.327829601794959,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_041,
auto_20260614_190800_exp_017,ml_conservative_full_participation_enhancement,50,optuna,ExtraTrees,20,0.583,0.631,0.0065,0.969,0.964,0.927,0.0593,1.142,0.088,avoid_loss_label,0.0012,0.969,0.35000000000000003,16,42,1.4531450236802168,-0.0031993320427115,1.2295040040440939,4.2311865149350085,0.10766666666666662,-0.23009593186296104,0.9832193732193731,0.023743142159733683,0.021091671233095143,0.3333333333333333,0.9910236280246322,0.009057677053835702,3,ok,,1.1075827072320354,-0.001157976148085993,-0.16039628515826,2.3817050387008134,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_017,
auto_20260614_190800_exp_027,ml_conservative_full_participation_enhancement,50,optuna,HistGradientBoosting,20,0.547,0.571,0.0379,0.971,0.96,0.937,0.0556,1.215,0.098,big_down_label,0.0017,0.964,0.25,26,42,1.423765525084705,-0.002195965246694039,1.2157622953223417,4.227860033994507,0.2309999999999998,-0.23146839419021117,0.9924773333333334,0.0109289841979397,0.008308496481071466,0.0,0.9982595643810538,0.001743470016263114,3,ok,,1.066355657732454,-0.04238502564766744,-0.16776120465521194,2.325436875995354,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_027,
auto_20260614_190800_exp_033,ml_conservative_full_participation_enhancement,80,optuna,LightGBM,20,0.556,0.602,0.0119,0.973,0.955,0.942,0.0386,1.163,0.107,big_down_label,0.0013,0.95,0.2,32,42,1.4205983354319747,-0.0023143624693930573,1.2160387853615473,4.211700276520759,0.2513333333333336,-0.23157516119867236,0.9932184615384614,0.010269090932575413,0.008076818101898512,0.0,0.9969427524925792,0.003066622932738022,3,ok,,1.0814710243248489,-0.027269659055272566,-0.17009978105739965,2.3267210677029513,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_033,
auto_20260614_190800_exp_048,ml_conservative_full_participation_enhancement,80,optuna,LightGBM,20,0.594,0.608,0.0164,0.985,0.954,0.94,0.0553,1.201,0.111,reduce_position_worth_label,0.0016,0.962,0.30000000000000004,47,42,1.4174950935351271,-0.0023946613256929186,1.215547164534332,4.210499221426875,0.26000000000000023,-0.2315712902253032,0.9929846153846155,0.010623197516457322,0.008355329070929495,0.0,0.9968381518730067,0.0031718771207264415,3,ok,,1.1090286139147696,0.0002879305346481509,-0.16257466798180742,2.373299298386091,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_048,
auto_20260614_190800_exp_028,ml_conservative_full_participation_enhancement,50,optuna,XGBoost,20,0.562,0.602,0.03,0.976,0.967,0.937,0.0481,1.19,0.091,reduce_position_worth_label,0.0014,0.954,0.30000000000000004,27,42,1.402720696708123,-0.0033071684991918446,1.211563492681117,4.198155102186118,0.16799999999999984,-0.2316874194263758,0.9931608205128205,0.010741026216852688,0.007372598571132284,0.0,0.9966855516466222,0.003325470453446472,3,ok,,1.0962247633280215,-0.012515920052099894,-0.17260282010543815,2.321469982522413,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_028,
auto_20260614_190800_exp_015,ml_conservative_full_participation_enhancement,50,optuna,ExtraTrees,10,0.532,0.617,0.0385,0.976,0.962,0.932,0.0565,1.206,0.096,big_up_label,0.0017,0.951,0.25,14,42,1.379795954911292,-0.0034157643039000782,1.2173512451737918,4.196892128639225,0.2719999999999998,-0.23187617953446538,0.9878165698005699,0.014012059160491938,0.010862460122499884,0.0,0.9963336169230635,0.003679874908024465,3,ok,,1.0906761460062162,-0.01806453737390523,-0.17260282010543804,2.316538102992007,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_015,
auto_20260614_190800_exp_036,ml_conservative_full_participation_enhancement,50,optuna,LightGBM,20,0.581,0.661,0.0405,0.982,0.949,0.947,0.0373,1.107,0.105,avoid_loss_label,0.0015,0.955,0.2,35,42,1.3750176225666384,-0.004569465304322266,1.2086298282119297,4.187664931243718,0.2826666666666669,-0.23168741942637575,0.9926820740740742,0.011382251382849555,0.007117996630291234,0.0,0.995456735545141,0.004563999913437729,3,ok,,1.0820838219033684,-0.026656861476753058,-0.17009978105739942,2.326599188210606,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_036,
auto_20260614_190800_exp_005,ml_conservative_full_participation_enhancement,50,optuna,RandomForest,20,0.553,0.667,0.0087,0.982,0.952,0.947,0.0212,1.155,0.076,big_down_label,0.002,0.978,0.2,4,42,1.3580857222551967,-0.0040387622898107045,1.2224396077521573,4.214642644606788,0.2220000000000002,-0.23060975956593988,0.9872297435897434,0.01689064613330662,0.013765286279792871,0.3333333333333333,0.9924803900730259,0.00757658287477171,3,ok,,1.084663633966314,-0.024077049413807394,-0.17009978105739965,2.3292997972337424,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_005,
auto_20260614_190800_exp_045,ml_conservative_full_participation_enhancement,50,optuna,ExtraTrees,10,0.55,0.598,0.0363,0.975,0.946,0.932,0.0313,1.189,0.093,big_down_label,0.0018,0.953,0.4,44,42,1.3132922229400363,-0.006238389781989762,1.2195880507616168,4.1748273102035185,0.33433333333333287,-0.2306814098972755,0.9832399999999999,0.022365832012706574,0.017576648837673837,0.3333333333333333,0.9894644141486988,0.01064776630735692,3,ok,,1.0848281429777602,-0.023912540402361238,-0.1700997810573993,2.324190192795836,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_045,
auto_20260614_190800_exp_024,ml_conservative_full_participation_enhancement,50,optuna,ExtraTrees,10,0.569,0.593,0.0358,0.979,0.96,0.923,0.053,1.125,0.095,big_down_label,0.0015,0.953,0.2,23,42,1.3118155126429285,-0.006438900078773013,1.2173819553219098,4.165520351894002,0.41999999999999965,-0.23089787632108386,0.9842383133903132,0.021239670868820577,0.016426448353816864,0.3333333333333333,0.9894379779626541,0.010674769184718345,3,ok,,1.084207042323027,-0.024533641057094435,-0.1700997810573992,2.325366222149351,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_024,
