date,trade_date,strategy,final_position,signal,buy_hold_return,strategy_return,active_return,turnover,transaction_cost,missed_upside,avoided_downside,gross_position_timing_contribution,net_position_timing_contribution,defensive_day,pred_big_up_prob,pred_big_down_prob,pred_tail_score
2025-11-24,2025-11-25,ml_big_up_index_enhancement,0.88,ADJUST,0.0177522752785534,0.015532002245126993,-0.0022202730334264075,0.08999999999999997,8.999999999999997e-05,0.002130273033426408,-0.0,-0.002130273033426408,-0.002220273033426408,True,0.3568492763262998,0.3395741534340306,0.0172751228922692
2025-11-25,2025-11-26,ml_big_up_index_enhancement,0.88,ADJUST,-0.0098174608600533,-0.008639365556846903,0.0011780953032063963,0.0,0.0,0.0,0.0011780953032063959,0.0011780953032063959,0.0011780953032063959,True,0.2498673646993765,0.3329057155535348,-0.0830383508541582
2025-11-26,2025-11-27,ml_big_up_index_enhancement,0.88,ADJUST,0.012026028265309,0.01058290487347192,-0.0014431233918370794,0.0,0.0,0.0014431233918370799,-0.0,-0.0014431233918370799,-0.0014431233918370799,True,0.3211349903188625,0.3444938082679574,-0.0233588179490949
2025-11-27,2025-11-28,ml_big_up_index_enhancement,0.88,ADJUST,0.01752298014982,0.015420222531841601,-0.0021027576179783996,0.0,0.0,0.0021027576179784,-0.0,-0.0021027576179784,-0.0021027576179784,True,0.261800897137724,0.3229516941765981,-0.061150797038874
2025-11-28,2025-12-01,ml_big_up_index_enhancement,0.88,ADJUST,-0.0001832677989537,-0.000161275663079256,2.1992135874443995e-05,0.0,0.0,0.0,2.1992135874444e-05,2.1992135874444e-05,2.1992135874444e-05,True,0.280623051920749,0.2807320175333912,-0.0001089656126421
2025-12-01,2025-12-02,ml_big_up_index_enhancement,0.88,ADJUST,-0.0034156649667822,-0.003005785170768336,0.0004098797960138639,0.0,0.0,0.0,0.00040987979601386397,0.00040987979601386397,0.00040987979601386397,True,0.3213746602048321,0.3162050342323304,0.0051696259725017
2025-12-02,2025-12-03,ml_big_up_index_enhancement,0.88,ADJUST,-0.0088465667963644,-0.007784978780800672,0.0010615880155637279,0.0,0.0,0.0,0.0010615880155637279,0.0010615880155637279,0.0010615880155637279,True,0.2845372561950313,0.3057668290605364,-0.0212295728655051
2025-12-03,2025-12-04,ml_big_up_index_enhancement,0.88,ADJUST,-0.0174965073368557,-0.015396926456433016,0.0020995808804226846,0.0,0.0,0.0,0.002099580880422684,0.002099580880422684,0.002099580880422684,True,0.2878146272504478,0.2879540228630835,-0.0001393956126357
2025-12-04,2025-12-05,ml_big_up_index_enhancement,0.88,ADJUST,0.0171401106536797,0.015083297375238136,-0.0020568132784415643,0.0,0.0,0.002056813278441564,-0.0,-0.002056813278441564,-0.002056813278441564,True,0.3955062819803532,0.2715421571352687,0.1239641248450845
2025-12-05,2025-12-08,ml_big_up_index_enhancement,0.88,ADJUST,0.0108426695733434,0.009541549224542192,-0.0013011203488012078,0.0,0.0,0.001301120348801208,-0.0,-0.001301120348801208,-0.001301120348801208,True,0.3157599087169727,0.3465267766882867,-0.0307668679713139
2025-12-08,2025-12-09,ml_big_up_index_enhancement,0.88,ADJUST,-0.0084174053303263,-0.007407316690687144,0.001010088639639156,0.0,0.0,0.0,0.001010088639639156,0.001010088639639156,0.001010088639639156,True,0.306240794660225,0.3681058494629933,-0.0618650548027683
2025-12-09,2025-12-10,ml_big_up_index_enhancement,0.88,ADJUST,-0.0094151633683722,-0.008285343764167535,0.0011298196042046644,0.0,0.0,0.0,0.001129819604204664,0.001129819604204664,0.001129819604204664,True,0.316571481086063,0.3542806814483349,-0.0377092003622719
2025-12-10,2025-12-11,ml_big_up_index_enhancement,0.88,ADJUST,-0.0258956510632861,-0.02278817293569177,0.0031074781275943313,0.0,0.0,0.0,0.003107478127594332,0.003107478127594332,0.003107478127594332,True,0.3233178516783276,0.3641462949542969,-0.0408284432759693
2025-12-11,2025-12-12,ml_big_up_index_enhancement,0.88,ADJUST,-0.0128339007284823,-0.011293832641064424,0.0015400680874178754,0.0,0.0,0.0,0.0015400680874178758,0.0015400680874178758,0.0015400680874178758,True,0.5501213469988201,0.3862709880872479,0.1638503589115721
2025-12-12,2025-12-15,ml_big_up_index_enhancement,0.88,ADJUST,0.0062094319484524,0.0054643001146381116,-0.000745131833814288,0.0,0.0,0.0007451318338142879,-0.0,-0.0007451318338142879,-0.0007451318338142879,True,0.528184259669754,0.3648617118436046,0.1633225478261493
2025-12-15,2025-12-16,ml_big_up_index_enhancement,0.88,ADJUST,-0.0185086241576989,-0.01628758925877503,0.0022210348989238696,0.0,0.0,0.0,0.002221034898923868,0.002221034898923868,0.002221034898923868,True,0.4748107562766284,0.3999533765419388,0.0748573797346896
2025-12-16,2025-12-17,ml_big_up_index_enhancement,0.88,ADJUST,0.0006516441606601,0.000573446861380888,-7.819729927921199e-05,0.0,0.0,7.819729927921199e-05,-0.0,-7.819729927921199e-05,-7.819729927921199e-05,True,0.4823553749286766,0.3864495930358805,0.095905781892796
2025-12-17,2025-12-18,ml_big_up_index_enhancement,0.88,ADJUST,0.0177109384125275,0.015585625803024201,-0.0021253126095032993,0.0,0.0,0.0021253126095033,-0.0,-0.0021253126095033,-0.0021253126095033,True,0.4762444628609267,0.3896393214320985,0.0866051414288281
2025-12-18,2025-12-19,ml_big_up_index_enhancement,0.88,ADJUST,0.0252181432277336,0.022191966040405568,-0.003026177187328033,0.0,0.0,0.003026177187328032,-0.0,-0.003026177187328032,-0.003026177187328032,True,0.453528855692985,0.3963913783748088,0.0571374773181762
2025-12-19,2025-12-22,ml_big_up_index_enhancement,0.88,ADJUST,-0.0012927663359351,-0.001137634375622888,0.0001551319603122119,0.0,0.0,0.0,0.000155131960312212,0.000155131960312212,0.000155131960312212,True,0.4670471962817499,0.3037699478758379,0.163277248405912
2025-12-22,2025-12-23,ml_big_up_index_enhancement,1.0,ADJUST,-0.006220374143758,-0.0063403741437580005,-0.00012000000000000031,0.12,0.00012,0.0,0.0,-0.0,-0.00012,False,0.4788931734403505,0.2899126901273939,0.1889804833129565
2025-12-23,2025-12-24,ml_big_up_index_enhancement,0.97,ADJUST,0.0099166249482383,0.009589126199791149,-0.00032749874844715046,0.030000000000000027,3.0000000000000028e-05,0.00029749874844714924,-0.0,-0.00029749874844714924,-0.00032749874844714927,True,0.5237279851287107,0.3465036990938226,0.177224286034888
2025-12-24,2025-12-25,ml_big_up_index_enhancement,1.0,ADJUST,0.0111900907875288,0.0111600907875288,-3.0000000000000512e-05,0.030000000000000027,3.0000000000000028e-05,0.0,-0.0,0.0,-3.0000000000000028e-05,False,0.4698277310102867,0.3033275686762575,0.1665001623340292
2025-12-25,2025-12-26,ml_big_up_index_enhancement,1.0,ADJUST,-0.0064575869081048,-0.0064575869081048,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,False,0.5167526258162942,0.2983239960531806,0.2184286297631136
2025-12-26,2025-12-29,ml_big_up_index_enhancement,0.97,ADJUST,0.0035665336703925,0.003429537660280725,-0.00013699601011177504,0.030000000000000027,3.0000000000000028e-05,0.0001069960101117751,-0.0,-0.0001069960101117751,-0.00013699601011177512,True,0.4923933162337149,0.2789429941096839,0.2134503221240309
2025-12-29,2025-12-30,ml_big_up_index_enhancement,0.97,ADJUST,-0.0087829778968804,-0.008519488559973988,0.0002634893369064129,0.0,0.0,0.0,0.00026348933690641227,0.00026348933690641227,0.00026348933690641227,True,0.5321013110233707,0.4239847338207175,0.1081165772026531
2025-12-30,2025-12-31,ml_big_up_index_enhancement,0.97,ADJUST,0.0053091329946999,0.005149859004858903,-0.00015927398984099707,0.0,0.0,0.00015927398984099715,-0.0,-0.00015927398984099715,-0.00015927398984099715,True,0.4912393395469939,0.4815889447383643,0.0096503948086296
2025-12-31,2026-01-05,ml_big_up_index_enhancement,0.97,ADJUST,0.013288014594583,0.01288937415674551,-0.0003986404378374907,0.0,0.0,0.00039864043783749035,-0.0,-0.00039864043783749035,-0.00039864043783749035,True,0.5445582103700459,0.468979605861657,0.0755786045083889
2026-01-05,2026-01-06,ml_big_up_index_enhancement,1.0,ADJUST,0.003210060594402,0.003180060594402,-3.000000000000008e-05,0.030000000000000027,3.0000000000000028e-05,0.0,-0.0,0.0,-3.0000000000000028e-05,False,0.5760233538516083,0.3642965830539512,0.211726770797657
2026-01-06,2026-01-07,ml_big_up_index_enhancement,1.0,ADJUST,-0.0042094603501791,-0.0042094603501791,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,False,0.5503068770894602,0.3317209008889755,0.2185859762004847
2026-01-07,2026-01-08,ml_big_up_index_enhancement,0.97,ADJUST,0.0194935116903904,0.018878706339678687,-0.0006148053507117127,0.030000000000000027,3.0000000000000028e-05,0.0005848053507117125,-0.0,-0.0005848053507117125,-0.0006148053507117126,True,0.6056140798336764,0.3331732538650697,0.2724408259686067
2026-01-08,2026-01-09,ml_big_up_index_enhancement,1.0,ADJUST,0.0120143073844756,0.0119843073844756,-3.0000000000000512e-05,0.030000000000000027,3.0000000000000028e-05,0.0,-0.0,0.0,-3.0000000000000028e-05,False,0.5196650760057628,0.2910602990508179,0.2286047769549449
2026-01-09,2026-01-12,ml_big_up_index_enhancement,1.0,ADJUST,0.0150634118460151,0.0150634118460151,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,False,0.545708296155344,0.2081300905795897,0.3375782055757542
2026-01-12,2026-01-13,ml_big_up_index_enhancement,1.0,ADJUST,-0.0002169026021129,-0.0002169026021129,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,False,0.5211410290572186,0.2384285878153753,0.2827124412418433
2026-01-13,2026-01-14,ml_big_up_index_enhancement,1.0,ADJUST,0.0036737766769059,0.0036737766769059,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,False,0.4994866171679408,0.2135637807657837,0.285922836402157
2026-01-14,2026-01-15,ml_big_up_index_enhancement,1.0,ADJUST,-1.574643092827621e-05,-1.574643092827621e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,False,0.4678984423652297,0.2050904414128058,0.2628080009524238
2026-01-15,2026-01-16,ml_big_up_index_enhancement,0.98,ADJUST,-0.0014472629409071,-0.001438317682088958,8.945258818142052e-06,0.020000000000000018,2.000000000000002e-05,0.0,2.8945258818142026e-05,2.8945258818142026e-05,8.945258818142008e-06,True,0.3330563097215986,0.3153583856630273,0.0176979240585712
2026-01-16,2026-01-19,ml_big_up_index_enhancement,1.0,ADJUST,0.0182725514623345,0.0182525514623345,-1.9999999999999185e-05,0.020000000000000018,2.000000000000002e-05,0.0,-0.0,0.0,-2.000000000000002e-05,False,0.3995852202187168,0.3128678127799238,0.0867174074387929
